r1,t1,r2,r3,t3,r4,mass,smax,u2
15.5,14.350000000000001,128.29999999999998,158.91,38.729999999999997,175.84999999999999,19.98267113,612.49500092000005,0.26390915999999998
38.5,18.949999999999999,130.5,162.33000000000001,39.189999999999998,173.15000000000001,20.7896544,521.17032416999996,0.25958430999999998
37.5,21.710000000000001,135.5,157.47,24.470000000000002,177.34999999999999,18.368221210000002,478.5189752,0.26129765999999999
94.5,4.6900000000000004,124.09999999999999,158.00999999999999,31.370000000000001,171.95000000000002,15.231998430000001,696.59584741000003,0.49686028999999998
42.5,34.130000000000003,134.69999999999999,153.15000000000001,43.329999999999998,179.15000000000001,26.027565639999999,378.28817124,0.20712884000000001
47.5,6.5300000000000011,123.89999999999999,152.97,14.350000000000001,188.15000000000001,11.516038269999999,928.40017461000002,0.47189091
81.5,35.509999999999998,137.90000000000001,150.99000000000001,13.430000000000001,190.84999999999999,16.302760039999999,386.28098341999998,0.33450118000000001
45.5,40.109999999999999,132.29999999999998,159.63,29.990000000000002,195.65000000000001,24.261740660000001,337.08575459000002,0.20749983
88.5,38.729999999999997,122.09999999999999,160.34999999999999,41.949999999999996,182.15000000000001,23.770922599999999,373.41129983000002,0.28376036999999998
99.5,46.089999999999996,123.5,150.27000000000001,37.809999999999995,177.65000000000001,22.41952964,361.97958778999998,0.30661205000000002
86.5,20.330000000000002,136.90000000000001,163.77000000000001,35.049999999999997,193.84999999999999,18.531455959999999,500.52171687999999,0.35867007000000001
22.5,47.93,139.90000000000001,158.55000000000001,11.59,186.05000000000001,23.34592078,309.09243430999999,0.21758023000000001
25.5,48.850000000000001,121.09999999999999,166.83000000000001,47.93,184.84999999999999,32.037534059999999,308.41386093,0.16382376000000001
100.5,43.329999999999998,137.29999999999998,150.81,47.469999999999999,182.75,24.587749380000002,363.25513510000002,0.30231258999999999
59.5,42.409999999999997,134.5,151.34999999999999,5.1500000000000004,192.34999999999999,16.94170746,597.16895499999998,0.37437164000000001
85.5,36.890000000000001,127.09999999999999,156.75,36.43,197.75,22.498811069999999,382.40076098999998,0.28627283999999997
40.5,30.450000000000003,136.69999999999999,154.22999999999999,26.770000000000003,198.95000000000002,20.905081859999999,391.28629561000002,0.22928266999999999
21.5,24.010000000000002,130.90000000000001,159.81,15.73,193.55000000000001,16.623447519999999,432.63805193000002,0.25977615999999998
96.5,49.310000000000002,122.69999999999999,156.21000000000001,46.549999999999997,174.34999999999999,25.41899402,342.07044384,0.28065234999999999
67.5,8.8300000000000018,125.69999999999999,160.17000000000002,18.489999999999998,186.34999999999999,12.846206090000001,766.08926254999994,0.45690396999999999
90.5,38.269999999999996,131.29999999999998,167.19,6.5300000000000011,176.75,15.795753270000001,453.57387460000001,0.37241495000000002
44.5,15.270000000000001,134.90000000000001,152.25,46.089999999999996,171.34999999999999,21.439465770000002,572.87812209000003,0.28193654000000001
72.5,29.990000000000002,130.69999999999999,153.87,7.4500000000000011,199.84999999999999,13.379026189999999,412.58851843000002,0.39691634999999997
28.5,8.370000000000001,125.3,164.67000000000002,22.630000000000003,188.75,14.078574919999999,820.41836854999997,0.36920604000000001
66.5,43.789999999999999,124.69999999999999,161.97,15.270000000000001,189.34999999999999,19.77323015,324.66466604999999,0.26418188999999997
55.5,9.75,129.69999999999999,156.03,40.57,174.05000000000001,18.772540299999999,680.36311653999996,0.34802951999999998
101.5,16.650000000000002,121.89999999999999,150.09,33.669999999999995,183.95000000000002,17.67840305,508.00493734000003,0.40809022
74.5,34.589999999999996,126.69999999999999,154.05000000000001,44.25,194.15000000000001,25.194960569999999,385.63037266999999,0.25762974999999999
62.5,41.030000000000001,138.5,163.22999999999999,5.6100000000000003,181.25,18.492683230000001,554.51955390000001,0.31574848
30.5,13.890000000000001,135.29999999999998,155.49000000000001,39.649999999999999,195.95000000000002,20.17642966,616.44439684999998,0.28092426999999998
39.5,24.470000000000002,139.5,163.95000000000002,41.030000000000001,192.65000000000001,22.80766659,455.33557610999998,0.23648830000000001
63.5,29.07,125.09999999999999,155.84999999999999,6.9900000000000002,173.75,15.1631932,445.71210596999998,0.34727257
32.5,31.830000000000002,128.90000000000001,166.47,8.8300000000000018,198.34999999999999,16.664172140000002,363.13071223999998,0.28557369999999999
61.5,37.809999999999995,124.5,162.15000000000001,6.0700000000000003,184.55000000000001,16.63138326,506.63384475999999,0.33389994000000001
64.5,39.649999999999999,120.3,167.00999999999999,4.6900000000000004,187.84999999999999,16.3368918,626.62356695999995,0.35921019999999998
80.5,6.9900000000000002,139.29999999999998,161.78999999999999,43.789999999999999,196.84999999999999,18.092219190000002,685.32070605000001,0.43291888000000001
106.5,14.81,122.3,157.65000000000001,14.81,180.05000000000001,12.10410092,638.74868733000005,0.55046181999999999
12.5,5.6100000000000003,125.5,155.67000000000002,12.510000000000002,195.05000000000001,10.51108106,1059.3475231899999,0.46557589999999999
102.5,46.549999999999997,125.89999999999999,152.43000000000001,11.130000000000001,189.65000000000001,14.720658240000001,392.33698661,0.40232085000000001
53.5,45.629999999999995,124.3,165.39000000000001,12.970000000000001,172.55000000000001,21.621039119999999,305.35077025999999,0.23597916999999999
33.5,15.73,136.09999999999999,162.69,18.030000000000001,176.15000000000001,15.33084687,576.64175562000003,0.30722578
17.5,44.710000000000001,138.69999999999999,167.72999999999999,47.009999999999998,170.45000000000002,30.201217929999999,320.38170027000001,0.16633545999999999
89.5,29.530000000000001,122.5,166.11000000000001,29.07,185.45000000000002,18.80517936,432.01926501999998,0.33324796000000001
108.5,45.170000000000002,132.5,159.99000000000001,16.190000000000001,171.05000000000001,16.795161520000001,399.09826328999998,0.38241767999999998
93.5,17.57,130.09999999999999,156.39000000000001,10.670000000000002,195.34999999999999,11.1981141,605.61605582000004,0.51235830999999998
26.5,4.2300000000000004,135.69999999999999,160.53,19.41,196.25,11.639990510000001,1146.1093302300001,0.49066558999999998
103.5,12.970000000000001,139.69999999999999,165.75,9.75,199.55000000000001,9.6856189599999993,720.31625057999997,0.63249949000000005
107.5,9.2900000000000009,123.69999999999999,163.41,12.050000000000001,187.25,10.302608859999999,771.67484755999999,0.65990013999999997
16.5,37.350000000000001,138.09999999999999,153.50999999999999,29.530000000000001,190.55000000000001,24.353563229999999,342.24728349999998,0.18893409999999999
